,Unnamed: 0,f1_scores,perc_withaddednoise,dataset
131,31,0.903,0.25,Lee_et_al_Science_Covidonly
132,32,0.904,0.25,Lee_et_al_Science_Covidonly
133,33,0.906,0.25,Lee_et_al_Science_Covidonly
134,34,0.909,0.25,Lee_et_al_Science_Covidonly
135,35,0.897,0.25,Lee_et_al_Science_Covidonly
136,36,0.905,0.25,Lee_et_al_Science_Covidonly
137,37,0.911,0.25,Lee_et_al_Science_Covidonly
138,38,0.902,0.25,Lee_et_al_Science_Covidonly
139,39,0.902,0.25,Lee_et_al_Science_Covidonly
140,40,0.912,0.25,Lee_et_al_Science_Covidonly
141,41,0.91,0.25,Lee_et_al_Science_Covidonly
142,42,0.912,0.25,Lee_et_al_Science_Covidonly
143,43,0.912,0.25,Lee_et_al_Science_Covidonly
144,44,0.912,0.25,Lee_et_al_Science_Covidonly
145,45,0.902,0.25,Lee_et_al_Science_Covidonly
146,46,0.894,0.25,Lee_et_al_Science_Covidonly
147,47,0.902,0.25,Lee_et_al_Science_Covidonly
148,48,0.908,0.25,Lee_et_al_Science_Covidonly
149,49,0.911,0.25,Lee_et_al_Science_Covidonly
150,50,0.913,0.25,Lee_et_al_Science_Covidonly
151,51,0.901,0.25,Lee_et_al_Science_Covidonly
152,52,0.91,0.25,Lee_et_al_Science_Covidonly
153,53,0.902,0.25,Lee_et_al_Science_Covidonly
154,54,0.91,0.25,Lee_et_al_Science_Covidonly
155,55,0.907,0.25,Lee_et_al_Science_Covidonly
156,56,0.906,0.25,Lee_et_al_Science_Covidonly
157,57,0.899,0.25,Lee_et_al_Science_Covidonly
158,58,0.906,0.25,Lee_et_al_Science_Covidonly
159,59,0.904,0.25,Lee_et_al_Science_Covidonly
160,60,0.905,0.25,Lee_et_al_Science_Covidonly
161,61,0.913,0.25,Lee_et_al_Science_Covidonly
162,62,0.902,0.25,Lee_et_al_Science_Covidonly
163,63,0.91,0.25,Lee_et_al_Science_Covidonly
164,64,0.902,0.25,Lee_et_al_Science_Covidonly
165,65,0.911,0.25,Lee_et_al_Science_Covidonly
166,66,0.901,0.25,Lee_et_al_Science_Covidonly
167,67,0.885,0.25,Lee_et_al_Science_Covidonly
168,68,0.907,0.25,Lee_et_al_Science_Covidonly
169,69,0.903,0.25,Lee_et_al_Science_Covidonly
170,70,0.897,0.25,Lee_et_al_Science_Covidonly
171,71,0.898,0.25,Lee_et_al_Science_Covidonly
172,72,0.908,0.25,Lee_et_al_Science_Covidonly
173,73,0.9,0.25,Lee_et_al_Science_Covidonly
